",",datasetName,errorType,percentage,feature,modelName,Accuracy,Auc,Recall,Precision,F1
0,student-mat-5.csv,NULL,0.0,NULL,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
1,student-mat-5.csv,NULL,0.0,NULL,RandomForestClassifier,0.9367,0.8351,1.0,0.9367,0.9673
2,student-mat-5.csv,NULL,0.0,NULL,SVC,0.9367,0.7784,1.0,0.9367,0.9673
3,student-mat-5.csv,NULL,0.0,NULL,ExtraTreesClassifier,0.9367,0.8486,1.0,0.9367,0.9673
4,student-mat-5.csv,NULL,0.0,NULL,CatBoostClassifier,0.9367,0.8392,1.0,0.9367,0.9673
5,student-mat-5.csv,NULL,0.0,NULL,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
6,student-mat-5.csv,NULL,0.0,NULL,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
7,student-mat-5.csv,NULL,0.0,NULL,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
8,student-mat-5.csv,NULL,0.0,NULL,GradientBoostingClassifier,0.9494,0.6797,1.0,0.9487,0.9737
9,student-mat-5.csv,NULL,0.0,NULL,MLPClassifier,0.9367,0.9243,1.0,0.9367,0.9673
10,student-mat-5.csv,NULL,0.0,NULL,LogisticRegression,0.9494,0.7378,0.9865,0.9605,0.9733
11,student-mat-5.csv,NULL,0.0,NULL,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
12,student-mat-5.csv,NULL,0.0,NULL,AdaBoostClassifier,0.9494,0.8405,0.9865,0.9605,0.9733
13,student-mat-5.csv,NULL,0.0,NULL,LinearDiscriminantAnalysis,0.9367,0.7297,0.973,0.96,0.9664
14,student-mat-5.csv,NULL,0.0,NULL,DecisionTreeClassifier,0.9367,0.5,0.9865,0.9481,0.9669
15,student-mat-5.csv,NULL,0.0,NULL,SGDClassifier,0.9367,,1.0,0.9367,0.9673
16,student-mat-5.csv,NULL,0.0,NULL,GaussianNB,0.557,0.4405,0.527,1.0,0.6903
17,student-mat-5.csv,Labels,0.2,higher,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
18,student-mat-5.csv,Labels,0.2,higher,SVC,0.9241,0.6689,0.9865,0.9359,0.9605
19,student-mat-5.csv,Labels,0.2,higher,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
20,student-mat-5.csv,Labels,0.2,higher,CatBoostClassifier,0.9241,0.5432,0.9865,0.9359,0.9605
21,student-mat-5.csv,Labels,0.2,higher,RandomForestClassifier,0.9114,0.5703,0.973,0.9351,0.9536
22,student-mat-5.csv,Labels,0.2,higher,RidgeClassifier,0.8481,,0.8919,0.9429,0.9167
23,student-mat-5.csv,Labels,0.2,higher,ExtraTreesClassifier,0.9114,0.5095,0.973,0.9351,0.9536
24,student-mat-5.csv,Labels,0.2,higher,LogisticRegression,0.8734,0.4378,0.9189,0.9444,0.9315
25,student-mat-5.csv,Labels,0.2,higher,LinearDiscriminantAnalysis,0.7975,0.4757,0.8378,0.9394,0.8857
26,student-mat-5.csv,Labels,0.2,higher,KNeighborsClassifier,0.8608,0.6378,0.9054,0.9437,0.9241
27,student-mat-5.csv,Labels,0.2,higher,MLPClassifier,0.9367,0.5784,1.0,0.9367,0.9673
28,student-mat-5.csv,Labels,0.2,higher,AdaBoostClassifier,0.7848,0.3851,0.8378,0.9254,0.8794
29,student-mat-5.csv,Labels,0.2,higher,GradientBoostingClassifier,0.8481,0.3649,0.9054,0.9306,0.9178
30,student-mat-5.csv,Labels,0.2,higher,GaussianNB,0.7089,0.7595,0.7568,0.918,0.8296
31,student-mat-5.csv,Labels,0.2,higher,GaussianProcessClassifier,0.7595,0.5,0.7703,0.9661,0.8571
32,student-mat-5.csv,Labels,0.2,higher,SGDClassifier,0.9114,,0.973,0.9351,0.9536
33,student-mat-5.csv,Labels,0.2,higher,DecisionTreeClassifier,0.7468,0.5,0.7838,0.9355,0.8529
34,student-mat-5.csv,Labels,0.4,higher,AdaBoostClassifier,0.6582,0.527,0.6757,0.9434,0.7874
35,student-mat-5.csv,Labels,0.4,higher,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
36,student-mat-5.csv,Labels,0.4,higher,CatBoostClassifier,0.6962,0.5703,0.7162,0.9464,0.8154
37,student-mat-5.csv,Labels,0.4,higher,GaussianNB,0.557,0.4919,0.5811,0.9149,0.7107
38,student-mat-5.csv,Labels,0.4,higher,ExtraTreesClassifier,0.6835,0.5662,0.7027,0.9455,0.8062
39,student-mat-5.csv,Labels,0.4,higher,RandomForestClassifier,0.7215,0.6122,0.7297,0.9643,0.8308
40,student-mat-5.csv,Labels,0.4,higher,GradientBoostingClassifier,0.6203,0.5649,0.6351,0.94,0.7581
41,student-mat-5.csv,Labels,0.4,higher,SVC,0.8608,0.6108,0.9054,0.9437,0.9241
42,student-mat-5.csv,Labels,0.4,higher,LogisticRegression,0.5696,0.5568,0.6081,0.9,0.7258
43,student-mat-5.csv,Labels,0.4,higher,RidgeClassifier,0.5443,,0.5811,0.8958,0.7049
44,student-mat-5.csv,Labels,0.4,higher,QuadraticDiscriminantAnalysis,0.557,0.6203,0.5811,0.9149,0.7107
45,student-mat-5.csv,Labels,0.4,higher,GaussianProcessClassifier,0.5696,0.5,0.5676,0.9545,0.7119
46,student-mat-5.csv,Labels,0.4,higher,MLPClassifier,0.8101,0.5108,0.8649,0.9275,0.8951
47,student-mat-5.csv,Labels,0.4,higher,LinearDiscriminantAnalysis,0.5443,0.6162,0.5811,0.8958,0.7049
48,student-mat-5.csv,Labels,0.4,higher,SGDClassifier,0.8861,,0.9459,0.9333,0.9396
49,student-mat-5.csv,Labels,0.4,higher,DecisionTreeClassifier,0.5443,0.5,0.5405,0.9524,0.6897
50,student-mat-5.csv,Labels,0.4,higher,KNeighborsClassifier,0.6456,0.5338,0.6486,0.96,0.7742
51,student-mat-5.csv,Labels,0.6,higher,SVC,0.1899,0.5189,0.1486,0.9167,0.2558
52,student-mat-5.csv,Labels,0.6,higher,QuadraticDiscriminantAnalysis,0.2785,0.7284,0.2703,0.8696,0.4124
53,student-mat-5.csv,Labels,0.6,higher,DummyClassifier,0.0633,0.5,0.0,0.0,0.0
54,student-mat-5.csv,Labels,0.6,higher,MLPClassifier,0.3291,0.5838,0.2973,0.9565,0.4536
55,student-mat-5.csv,Labels,0.6,higher,AdaBoostClassifier,0.3671,0.5959,0.3514,0.9286,0.5098
56,student-mat-5.csv,Labels,0.6,higher,RidgeClassifier,0.3671,,0.3378,0.9615,0.5
57,student-mat-5.csv,Labels,0.6,higher,LinearDiscriminantAnalysis,0.3671,0.7541,0.3378,0.9615,0.5
58,student-mat-5.csv,Labels,0.6,higher,LogisticRegression,0.3671,0.627,0.3378,0.9615,0.5
59,student-mat-5.csv,Labels,0.6,higher,GaussianNB,0.4684,0.8135,0.4865,0.9,0.6316
60,student-mat-5.csv,Labels,0.6,higher,KNeighborsClassifier,0.3671,0.4135,0.3378,0.9615,0.5
61,student-mat-5.csv,Labels,0.6,higher,RandomForestClassifier,0.2532,0.7568,0.2162,0.9412,0.3516
62,student-mat-5.csv,Labels,0.6,higher,GaussianProcessClassifier,0.3671,0.5,0.3514,0.9286,0.5098
63,student-mat-5.csv,Labels,0.6,higher,SGDClassifier,0.0886,,0.027,1.0,0.0526
64,student-mat-5.csv,Labels,0.6,higher,ExtraTreesClassifier,0.3038,0.7703,0.2838,0.913,0.433
65,student-mat-5.csv,Labels,0.6,higher,GradientBoostingClassifier,0.3544,0.5,0.3378,0.9259,0.495
66,student-mat-5.csv,Labels,0.6,higher,DecisionTreeClassifier,0.4051,0.5,0.4189,0.8857,0.5688
67,student-mat-5.csv,Labels,0.6,higher,CatBoostClassifier,0.3038,0.6973,0.2838,0.913,0.433
68,student-mat-5.csv,Labels,0.8,higher,MLPClassifier,0.0633,0.4,0.0,0.0,0.0
69,student-mat-5.csv,Labels,0.8,higher,DummyClassifier,0.0633,0.5,0.0,0.0,0.0
70,student-mat-5.csv,Labels,0.8,higher,ExtraTreesClassifier,0.0633,0.8486,0.0135,0.5,0.0263
71,student-mat-5.csv,Labels,0.8,higher,SVC,0.0633,0.55,0.0,0.0,0.0
72,student-mat-5.csv,Labels,0.8,higher,QuadraticDiscriminantAnalysis,0.0633,0.4932,0.0,0.0,0.0
73,student-mat-5.csv,Labels,0.8,higher,CatBoostClassifier,0.0506,0.8297,0.0,0.0,0.0
74,student-mat-5.csv,Labels,0.8,higher,KNeighborsClassifier,0.1392,0.5554,0.0946,0.875,0.1707
75,student-mat-5.csv,Labels,0.8,higher,RandomForestClassifier,0.0633,0.8027,0.0,0.0,0.0
76,student-mat-5.csv,Labels,0.8,higher,RidgeClassifier,0.1519,,0.1216,0.8182,0.2118
77,student-mat-5.csv,Labels,0.8,higher,GradientBoostingClassifier,0.1519,0.7703,0.1081,0.8889,0.1928
78,student-mat-5.csv,Labels,0.8,higher,LogisticRegression,0.1646,0.6973,0.1351,0.8333,0.2326
79,student-mat-5.csv,Labels,0.8,higher,LinearDiscriminantAnalysis,0.1899,0.6176,0.1622,0.8571,0.2727
80,student-mat-5.csv,Labels,0.8,higher,AdaBoostClassifier,0.2658,0.8068,0.2297,0.9444,0.3696
81,student-mat-5.csv,Labels,0.8,higher,GaussianProcessClassifier,0.2658,0.5,0.2432,0.9,0.383
82,student-mat-5.csv,Labels,0.8,higher,GaussianNB,0.2532,0.5297,0.2568,0.8261,0.3918
83,student-mat-5.csv,Labels,0.8,higher,DecisionTreeClassifier,0.3291,0.5,0.2973,0.9565,0.4536
84,student-mat-5.csv,Labels,0.8,higher,SGDClassifier,0.0886,,0.027,1.0,0.0526
85,student-mat-5.csv,Outlier,0.2,age,SVC,0.9367,0.7919,1.0,0.9367,0.9673
86,student-mat-5.csv,Outlier,0.2,age,RandomForestClassifier,0.9367,0.8338,1.0,0.9367,0.9673
87,student-mat-5.csv,Outlier,0.2,age,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
88,student-mat-5.csv,Outlier,0.2,age,ExtraTreesClassifier,0.9367,0.8324,1.0,0.9367,0.9673
89,student-mat-5.csv,Outlier,0.2,age,CatBoostClassifier,0.9367,0.85,1.0,0.9367,0.9673
90,student-mat-5.csv,Outlier,0.2,age,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
91,student-mat-5.csv,Outlier,0.2,age,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
92,student-mat-5.csv,Outlier,0.2,age,KNeighborsClassifier,0.9367,0.8797,1.0,0.9367,0.9673
93,student-mat-5.csv,Outlier,0.2,age,MLPClassifier,0.9494,0.9297,1.0,0.9487,0.9737
94,student-mat-5.csv,Outlier,0.2,age,LogisticRegression,0.962,0.7838,1.0,0.961,0.9801
95,student-mat-5.csv,Outlier,0.2,age,GradientBoostingClassifier,0.9494,0.8108,1.0,0.9487,0.9737
96,student-mat-5.csv,Outlier,0.2,age,DecisionTreeClassifier,0.9494,0.5,1.0,0.9487,0.9737
97,student-mat-5.csv,Outlier,0.2,age,AdaBoostClassifier,0.962,0.9338,1.0,0.961,0.9801
98,student-mat-5.csv,Outlier,0.2,age,LinearDiscriminantAnalysis,0.9367,0.7243,0.9865,0.9481,0.9669
99,student-mat-5.csv,Outlier,0.2,age,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
100,student-mat-5.csv,Outlier,0.2,age,SGDClassifier,0.2405,,0.1892,1.0,0.3182
101,student-mat-5.csv,Outlier,0.2,age,GaussianNB,0.5696,0.3973,0.5405,1.0,0.7018
102,student-mat-5.csv,Outlier,0.4,age,SVC,0.9367,0.7919,1.0,0.9367,0.9673
103,student-mat-5.csv,Outlier,0.4,age,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
104,student-mat-5.csv,Outlier,0.4,age,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
105,student-mat-5.csv,Outlier,0.4,age,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
106,student-mat-5.csv,Outlier,0.4,age,RandomForestClassifier,0.9367,0.8405,1.0,0.9367,0.9673
107,student-mat-5.csv,Outlier,0.4,age,ExtraTreesClassifier,0.9367,0.8338,1.0,0.9367,0.9673
108,student-mat-5.csv,Outlier,0.4,age,CatBoostClassifier,0.9367,0.8338,1.0,0.9367,0.9673
109,student-mat-5.csv,Outlier,0.4,age,KNeighborsClassifier,0.9494,0.7878,1.0,0.9487,0.9737
110,student-mat-5.csv,Outlier,0.4,age,GradientBoostingClassifier,0.9494,0.8959,1.0,0.9487,0.9737
111,student-mat-5.csv,Outlier,0.4,age,SGDClassifier,0.9367,,1.0,0.9367,0.9673
112,student-mat-5.csv,Outlier,0.4,age,MLPClassifier,0.9367,0.8878,1.0,0.9367,0.9673
113,student-mat-5.csv,Outlier,0.4,age,LogisticRegression,0.9494,0.7757,1.0,0.9487,0.9737
114,student-mat-5.csv,Outlier,0.4,age,GaussianProcessClassifier,0.9494,0.5,1.0,0.9487,0.9737
115,student-mat-5.csv,Outlier,0.4,age,DecisionTreeClassifier,0.9367,0.5,0.9865,0.9481,0.9669
116,student-mat-5.csv,Outlier,0.4,age,AdaBoostClassifier,0.9494,0.9027,0.9865,0.9605,0.9733
117,student-mat-5.csv,Outlier,0.4,age,LinearDiscriminantAnalysis,0.9494,0.7297,1.0,0.9487,0.9737
118,student-mat-5.csv,Outlier,0.4,age,GaussianNB,0.5696,0.4027,0.5405,1.0,0.7018
119,student-mat-5.csv,Outlier,0.6,age,KNeighborsClassifier,0.9367,0.6919,1.0,0.9367,0.9673
120,student-mat-5.csv,Outlier,0.6,age,SVC,0.9367,0.7095,1.0,0.9367,0.9673
121,student-mat-5.csv,Outlier,0.6,age,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
122,student-mat-5.csv,Outlier,0.6,age,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
123,student-mat-5.csv,Outlier,0.6,age,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
124,student-mat-5.csv,Outlier,0.6,age,RandomForestClassifier,0.9367,0.8405,1.0,0.9367,0.9673
125,student-mat-5.csv,Outlier,0.6,age,ExtraTreesClassifier,0.9367,0.8203,1.0,0.9367,0.9673
126,student-mat-5.csv,Outlier,0.6,age,CatBoostClassifier,0.9367,0.8405,1.0,0.9367,0.9673
127,student-mat-5.csv,Outlier,0.6,age,GradientBoostingClassifier,0.9494,0.8784,1.0,0.9487,0.9737
128,student-mat-5.csv,Outlier,0.6,age,SGDClassifier,0.9367,,1.0,0.9367,0.9673
129,student-mat-5.csv,Outlier,0.6,age,GaussianProcessClassifier,0.9494,0.5,1.0,0.9487,0.9737
130,student-mat-5.csv,Outlier,0.6,age,MLPClassifier,0.9367,0.9108,1.0,0.9367,0.9673
131,student-mat-5.csv,Outlier,0.6,age,LogisticRegression,0.9494,0.7973,1.0,0.9487,0.9737
132,student-mat-5.csv,Outlier,0.6,age,LinearDiscriminantAnalysis,0.9367,0.7257,0.9865,0.9481,0.9669
133,student-mat-5.csv,Outlier,0.6,age,DecisionTreeClassifier,0.9367,0.5,0.9865,0.9481,0.9669
134,student-mat-5.csv,Outlier,0.6,age,AdaBoostClassifier,0.9494,0.8811,0.9865,0.9605,0.9733
135,student-mat-5.csv,Outlier,0.6,age,GaussianNB,0.5696,0.4014,0.5405,1.0,0.7018
136,student-mat-5.csv,Outlier,0.8,age,KNeighborsClassifier,0.9367,0.6797,1.0,0.9367,0.9673
137,student-mat-5.csv,Outlier,0.8,age,SVC,0.9367,0.7203,1.0,0.9367,0.9673
138,student-mat-5.csv,Outlier,0.8,age,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
139,student-mat-5.csv,Outlier,0.8,age,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
140,student-mat-5.csv,Outlier,0.8,age,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
141,student-mat-5.csv,Outlier,0.8,age,RandomForestClassifier,0.9367,0.8527,1.0,0.9367,0.9673
142,student-mat-5.csv,Outlier,0.8,age,ExtraTreesClassifier,0.9367,0.8284,1.0,0.9367,0.9673
143,student-mat-5.csv,Outlier,0.8,age,CatBoostClassifier,0.9367,0.8284,1.0,0.9367,0.9673
144,student-mat-5.csv,Outlier,0.8,age,MLPClassifier,0.9367,0.9243,1.0,0.9367,0.9673
145,student-mat-5.csv,Outlier,0.8,age,SGDClassifier,0.7089,,0.7027,0.9811,0.8189
146,student-mat-5.csv,Outlier,0.8,age,GradientBoostingClassifier,0.9494,0.8703,1.0,0.9487,0.9737
147,student-mat-5.csv,Outlier,0.8,age,LogisticRegression,0.9494,0.8068,1.0,0.9487,0.9737
148,student-mat-5.csv,Outlier,0.8,age,GaussianProcessClassifier,0.9367,0.5,0.9865,0.9481,0.9669
149,student-mat-5.csv,Outlier,0.8,age,LinearDiscriminantAnalysis,0.9494,0.7311,1.0,0.9487,0.9737
150,student-mat-5.csv,Outlier,0.8,age,AdaBoostClassifier,0.962,0.9,1.0,0.961,0.9801
151,student-mat-5.csv,Outlier,0.8,age,DecisionTreeClassifier,0.9367,0.5,0.9865,0.9481,0.9669
152,student-mat-5.csv,Outlier,0.8,age,GaussianNB,0.5696,0.4041,0.5405,1.0,0.7018
153,student-mat-5.csv,Outlier,0.2,school,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
154,student-mat-5.csv,Outlier,0.2,school,RandomForestClassifier,0.9367,0.8405,1.0,0.9367,0.9673
155,student-mat-5.csv,Outlier,0.2,school,SVC,0.9367,0.7784,1.0,0.9367,0.9673
156,student-mat-5.csv,Outlier,0.2,school,ExtraTreesClassifier,0.9367,0.8351,1.0,0.9367,0.9673
157,student-mat-5.csv,Outlier,0.2,school,CatBoostClassifier,0.9367,0.8405,1.0,0.9367,0.9673
158,student-mat-5.csv,Outlier,0.2,school,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
159,student-mat-5.csv,Outlier,0.2,school,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
160,student-mat-5.csv,Outlier,0.2,school,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
161,student-mat-5.csv,Outlier,0.2,school,SGDClassifier,0.9367,,1.0,0.9367,0.9673
162,student-mat-5.csv,Outlier,0.2,school,GradientBoostingClassifier,0.9494,0.7473,1.0,0.9487,0.9737
163,student-mat-5.csv,Outlier,0.2,school,LogisticRegression,0.962,0.7405,1.0,0.961,0.9801
164,student-mat-5.csv,Outlier,0.2,school,DecisionTreeClassifier,0.9114,0.5,0.9595,0.9467,0.953
165,student-mat-5.csv,Outlier,0.2,school,MLPClassifier,0.962,0.8838,1.0,0.961,0.9801
166,student-mat-5.csv,Outlier,0.2,school,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
167,student-mat-5.csv,Outlier,0.2,school,AdaBoostClassifier,0.9494,0.8405,0.9865,0.9605,0.9733
168,student-mat-5.csv,Outlier,0.2,school,LinearDiscriminantAnalysis,0.9367,0.7446,0.973,0.96,0.9664
169,student-mat-5.csv,Outlier,0.2,school,GaussianNB,0.557,0.4203,0.527,1.0,0.6903
170,student-mat-5.csv,Outlier,0.4,school,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
171,student-mat-5.csv,Outlier,0.4,school,RandomForestClassifier,0.9367,0.827,1.0,0.9367,0.9673
172,student-mat-5.csv,Outlier,0.4,school,SVC,0.9367,0.7784,1.0,0.9367,0.9673
173,student-mat-5.csv,Outlier,0.4,school,ExtraTreesClassifier,0.9367,0.8216,1.0,0.9367,0.9673
174,student-mat-5.csv,Outlier,0.4,school,CatBoostClassifier,0.9367,0.8378,1.0,0.9367,0.9673
175,student-mat-5.csv,Outlier,0.4,school,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
176,student-mat-5.csv,Outlier,0.4,school,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
177,student-mat-5.csv,Outlier,0.4,school,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
178,student-mat-5.csv,Outlier,0.4,school,GradientBoostingClassifier,0.9494,0.6797,1.0,0.9487,0.9737
179,student-mat-5.csv,Outlier,0.4,school,MLPClassifier,0.962,0.8649,1.0,0.961,0.9801
180,student-mat-5.csv,Outlier,0.4,school,LogisticRegression,0.962,0.7338,1.0,0.961,0.9801
181,student-mat-5.csv,Outlier,0.4,school,AdaBoostClassifier,0.9494,0.8405,0.9865,0.9605,0.9733
182,student-mat-5.csv,Outlier,0.4,school,DecisionTreeClassifier,0.9114,0.5,0.9595,0.9467,0.953
183,student-mat-5.csv,Outlier,0.4,school,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
184,student-mat-5.csv,Outlier,0.4,school,LinearDiscriminantAnalysis,0.9367,0.7338,0.973,0.96,0.9664
185,student-mat-5.csv,Outlier,0.4,school,SGDClassifier,0.9367,,1.0,0.9367,0.9673
186,student-mat-5.csv,Outlier,0.4,school,GaussianNB,0.557,0.4378,0.527,1.0,0.6903
187,student-mat-5.csv,Outlier,0.6,school,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
188,student-mat-5.csv,Outlier,0.6,school,RandomForestClassifier,0.9367,0.8216,1.0,0.9367,0.9673
189,student-mat-5.csv,Outlier,0.6,school,SVC,0.9367,0.7784,1.0,0.9367,0.9673
190,student-mat-5.csv,Outlier,0.6,school,ExtraTreesClassifier,0.9367,0.8014,1.0,0.9367,0.9673
191,student-mat-5.csv,Outlier,0.6,school,CatBoostClassifier,0.9367,0.8392,1.0,0.9367,0.9673
192,student-mat-5.csv,Outlier,0.6,school,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
193,student-mat-5.csv,Outlier,0.6,school,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
194,student-mat-5.csv,Outlier,0.6,school,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
195,student-mat-5.csv,Outlier,0.6,school,SGDClassifier,0.9367,,1.0,0.9367,0.9673
196,student-mat-5.csv,Outlier,0.6,school,GradientBoostingClassifier,0.9494,0.7568,1.0,0.9487,0.9737
197,student-mat-5.csv,Outlier,0.6,school,MLPClassifier,0.962,0.9054,1.0,0.961,0.9801
198,student-mat-5.csv,Outlier,0.6,school,LogisticRegression,0.962,0.7459,1.0,0.961,0.9801
199,student-mat-5.csv,Outlier,0.6,school,DecisionTreeClassifier,0.9114,0.5,0.9595,0.9467,0.953
200,student-mat-5.csv,Outlier,0.6,school,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
201,student-mat-5.csv,Outlier,0.6,school,AdaBoostClassifier,0.9367,0.8162,0.973,0.96,0.9664
202,student-mat-5.csv,Outlier,0.6,school,LinearDiscriminantAnalysis,0.9367,0.7486,0.973,0.96,0.9664
203,student-mat-5.csv,Outlier,0.6,school,GaussianNB,0.5443,0.4257,0.527,0.975,0.6842
204,student-mat-5.csv,Outlier,0.8,school,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
205,student-mat-5.csv,Outlier,0.8,school,RandomForestClassifier,0.9367,0.773,1.0,0.9367,0.9673
206,student-mat-5.csv,Outlier,0.8,school,SGDClassifier,0.9367,,1.0,0.9367,0.9673
207,student-mat-5.csv,Outlier,0.8,school,ExtraTreesClassifier,0.9367,0.877,1.0,0.9367,0.9673
208,student-mat-5.csv,Outlier,0.8,school,CatBoostClassifier,0.9494,0.8324,1.0,0.9487,0.9737
209,student-mat-5.csv,Outlier,0.8,school,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
210,student-mat-5.csv,Outlier,0.8,school,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
211,student-mat-5.csv,Outlier,0.8,school,SVC,0.9367,0.7784,1.0,0.9367,0.9673
212,student-mat-5.csv,Outlier,0.8,school,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
213,student-mat-5.csv,Outlier,0.8,school,GradientBoostingClassifier,0.9494,0.6797,1.0,0.9487,0.9737
214,student-mat-5.csv,Outlier,0.8,school,MLPClassifier,0.9494,0.8797,1.0,0.9487,0.9737
215,student-mat-5.csv,Outlier,0.8,school,LogisticRegression,0.962,0.7689,1.0,0.961,0.9801
216,student-mat-5.csv,Outlier,0.8,school,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
217,student-mat-5.csv,Outlier,0.8,school,AdaBoostClassifier,0.9367,0.8595,1.0,0.9367,0.9673
218,student-mat-5.csv,Outlier,0.8,school,LinearDiscriminantAnalysis,0.9367,0.7527,0.973,0.96,0.9664
219,student-mat-5.csv,Outlier,0.8,school,DecisionTreeClassifier,0.9114,0.5,0.9595,0.9467,0.953
220,student-mat-5.csv,Outlier,0.8,school,GaussianNB,0.9367,0.5,1.0,0.9367,0.9673
221,student-mat-5.csv,Outlier,0.2,sex,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
222,student-mat-5.csv,Outlier,0.2,sex,RandomForestClassifier,0.9367,0.8365,1.0,0.9367,0.9673
223,student-mat-5.csv,Outlier,0.2,sex,SVC,0.9367,0.7784,1.0,0.9367,0.9673
224,student-mat-5.csv,Outlier,0.2,sex,ExtraTreesClassifier,0.9367,0.8689,1.0,0.9367,0.9673
225,student-mat-5.csv,Outlier,0.2,sex,CatBoostClassifier,0.9367,0.8378,1.0,0.9367,0.9673
226,student-mat-5.csv,Outlier,0.2,sex,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
227,student-mat-5.csv,Outlier,0.2,sex,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
228,student-mat-5.csv,Outlier,0.2,sex,MLPClassifier,0.9367,0.7378,1.0,0.9367,0.9673
229,student-mat-5.csv,Outlier,0.2,sex,KNeighborsClassifier,0.9367,0.8649,1.0,0.9367,0.9673
230,student-mat-5.csv,Outlier,0.2,sex,AdaBoostClassifier,0.9367,0.8892,1.0,0.9367,0.9673
231,student-mat-5.csv,Outlier,0.2,sex,GradientBoostingClassifier,0.9494,0.7932,1.0,0.9487,0.9737
232,student-mat-5.csv,Outlier,0.2,sex,LogisticRegression,0.962,0.7784,1.0,0.961,0.9801
233,student-mat-5.csv,Outlier,0.2,sex,GaussianProcessClassifier,0.962,0.5,1.0,0.961,0.9801
234,student-mat-5.csv,Outlier,0.2,sex,DecisionTreeClassifier,0.9367,0.5,0.9865,0.9481,0.9669
235,student-mat-5.csv,Outlier,0.2,sex,LinearDiscriminantAnalysis,0.9494,0.7649,0.9865,0.9605,0.9733
236,student-mat-5.csv,Outlier,0.2,sex,SGDClassifier,0.9367,,1.0,0.9367,0.9673
237,student-mat-5.csv,Outlier,0.2,sex,GaussianNB,0.9367,0.5,1.0,0.9367,0.9673
238,student-mat-5.csv,Outlier,0.4,sex,RidgeClassifier,0.9367,,1.0,0.9367,0.9673
239,student-mat-5.csv,Outlier,0.4,sex,RandomForestClassifier,0.9367,0.8486,1.0,0.9367,0.9673
240,student-mat-5.csv,Outlier,0.4,sex,SVC,0.9367,0.7797,1.0,0.9367,0.9673
241,student-mat-5.csv,Outlier,0.4,sex,ExtraTreesClassifier,0.9367,0.8351,1.0,0.9367,0.9673
242,student-mat-5.csv,Outlier,0.4,sex,CatBoostClassifier,0.9367,0.8432,1.0,0.9367,0.9673
243,student-mat-5.csv,Outlier,0.4,sex,DummyClassifier,0.9367,0.5,1.0,0.9367,0.9673
244,student-mat-5.csv,Outlier,0.4,sex,QuadraticDiscriminantAnalysis,0.9367,0.5,1.0,0.9367,0.9673
245,student-mat-5.csv,Outlier,0.4,sex,MLPClassifier,0.9367,0.7378,1.0,0.9367,0.9673
